"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Hart County, Georgia",3,0.337,10012,61,"Georgia","no",0.495600251414205,"Trump",0.0365,2e-04,0.0093,0.1924,0,0.7481
"Heard County, Georgia",3,0.245,3437,26,"Georgia","yes",0.685020393029292,"Trump",0.0274,3e-04,0.0053,0.0873,9e-04,0.8476
"Henry County, Georgia",3,0.388,103350,389,"Georgia","yes",-0.204751296769053,"Biden",0.0682,6e-04,0.0329,0.4343,0,0.4342
"Houston County, Georgia",5,0.38,69168,306,"Georgia","yes",0.124281781982415,"Trump",0.0653,0.0031,0.0322,0.307,1e-04,0.5625
"Irwin County, Georgia",3,0.334,3649,31,"Georgia","no",0.510076775431862,"Trump",0.0383,0.0012,0.0041,0.2829,0,0.6678
"Jackson County, Georgia",5,0.366,30388,174,"Georgia","no",0.580225613802256,"Trump",0.0766,5e-04,0.0178,0.0663,6e-04,0.8135
"Jasper County, Georgia",5,0.302,4984,47,"Georgia","yes",0.531266352694924,"Trump",0.0392,6e-04,0.0029,0.2039,0,0.7421
"Jeff Davis County, Georgia",3,0.27,4828,47,"Georgia","no",0.635418471668688,"Trump",0.1212,0,0.0023,0.1641,0,0.7085
"Jefferson County, Georgia",3,0.457,8232,74,"Georgia","no",-0.0682026443251735,"Biden",0.0384,0.0015,0.0031,0.5311,0,0.4201
"Jenkins County, Georgia",2,0.309,3226,46,"Georgia","no",0.25904486251809,"Trump",0.0817,0.0025,0.0111,0.3491,0,0.5467
"Johnson County, Georgia",3,0.29,3451,51,"Georgia","no",0.397073170731707,"Trump",0.0247,0,0.0022,0.3315,0,0.624
"Jones County, Georgia",3,0.377,12708,71,"Georgia","yes",0.338690237042989,"Trump",0.0167,0.0017,0.0075,0.2456,0,0.7143
"Lamar County, Georgia",5,0.306,6772,74,"Georgia","yes",0.410281923714759,"Trump",0.0245,0.0014,0.0048,0.294,0,0.6516
"Lanier County, Georgia",3,0.246,3004,14,"Georgia","yes",0.416666666666667,"Trump",0.0572,0.0016,0.002,0.2439,0,0.6861
"Laurens County, Georgia",5,0.372,21266,204,"Georgia","no",0.282389688091153,"Trump",0.0271,8e-04,0.0113,0.3722,2e-04,0.5722
"Lee County, Georgia",3,0.442,15252,74,"Georgia","yes",0.445674285030513,"Trump",0.0298,7e-04,0.0245,0.207,0.0012,0.7164
"Liberty County, Georgia",3,0.259,18377,80,"Georgia","yes",-0.240487987286155,"Biden",0.1261,0.0043,0.0196,0.401,0.005,0.3887
"Lincoln County, Georgia",3,0.404,3711,29,"Georgia","yes",0.375134669252316,"Trump",0.0182,5e-04,0,0.3097,3e-04,0.6618
"Long County, Georgia",3,0.173,4048,16,"Georgia","yes",0.263744033940251,"Trump",0.1128,0.0017,0.0097,0.2482,0.0044,0.5789
"Lowndes County, Georgia",3,0.321,44096,262,"Georgia","yes",0.120289073454859,"Trump",0.0566,0.0033,0.0174,0.3636,7e-04,0.5378
"Lumpkin County, Georgia",5,0.318,12091,87,"Georgia","no",0.581868521022471,"Trump",0.0484,0.0022,0.0082,0.0204,0.0014,0.9056
"McDuffie County, Georgia",3,0.389,9579,60,"Georgia","yes",0.191391678622669,"Trump",0.0306,0,0.0044,0.399,0.0123,0.5352
"McIntosh County, Georgia",3,0.359,5839,24,"Georgia","yes",0.209677419354839,"Trump",0.0028,0.001,0.0133,0.3542,0.0013,0.621
"Macon County, Georgia",3,0.366,5573,38,"Georgia","no",-0.230538280077204,"Biden",0.0429,0,0.0039,0.6147,1e-04,0.3233
"Madison County, Georgia",5,0.384,13030,62,"Georgia","yes",0.529892213965321,"Trump",0.0546,0.0034,0.0038,0.1064,0,0.8185
"Marion County, Georgia",3,0.343,3438,28,"Georgia","yes",0.265655172413793,"Trump",0.0728,0.0017,0.0091,0.3046,0.0062,0.5923
"Meriwether County, Georgia",3,0.36,8791,96,"Georgia","yes",0.205663326284821,"Trump",0.022,9e-04,0.0025,0.3974,0,0.5635
"Miller County, Georgia",3,0.473,3156,16,"Georgia","no",0.465067043048694,"Trump",0.0043,0.0057,0,0.3031,0.0029,0.6798
"Mitchell County, Georgia",5,0.403,10326,93,"Georgia","no",0.105110466413747,"Trump",0.0458,0.0028,0.002,0.4636,5e-04,0.4585
"Monroe County, Georgia",5,0.391,12384,119,"Georgia","yes",0.427966645285439,"Trump",0.0232,0.0015,0.0091,0.232,0,0.7241
"Montgomery County, Georgia",3,0.303,3440,27,"Georgia","no",0.499117721199899,"Trump",0.0659,0,0.0018,0.2575,0,0.6533
"Morgan County, Georgia",3,0.407,8758,34,"Georgia","yes",0.416709379805228,"Trump",0.0321,0.0013,7e-04,0.2279,0,0.7195
"Murray County, Georgia",5,0.311,14888,102,"Georgia","yes",0.691597894600039,"Trump",0.1504,0.0013,0.0034,0.0104,0,0.8254
"Muscogee County, Georgia",3,0.363,81655,545,"Georgia","yes",-0.240194251931341,"Biden",0.0761,0.004,0.0246,0.4561,0.0014,0.4035
"Newton County, Georgia",3,0.367,47134,292,"Georgia","yes",-0.109156617619943,"Biden",0.0558,0.0016,0.0106,0.4433,8e-04,0.4644
"Oconee County, Georgia",3,0.528,23195,75,"Georgia","yes",0.335068340750159,"Trump",0.0529,7e-04,0.0368,0.0523,7e-04,0.8414
"Oglethorpe County, Georgia",3,0.381,6479,35,"Georgia","yes",0.387679822943563,"Trump",0.0457,4e-04,0.0021,0.1757,0,0.7564
"Paulding County, Georgia",3,0.328,63315,275,"Georgia","yes",0.290751065923254,"Trump",0.0634,0.0024,0.0087,0.1849,4e-04,0.71
"Peach County, Georgia",3,0.39,12595,77,"Georgia","yes",0.0465227435672748,"Trump",0.0771,8e-04,0.0101,0.4466,0.001,0.4577
"Pickens County, Georgia",5,0.392,14215,92,"Georgia","yes",0.657424127686841,"Trump",0.0309,0.0092,0.0043,0.0103,5e-04,0.8662
"Pierce County, Georgia",5,0.295,6770,79,"Georgia","no",0.751409306952581,"Trump",0.0505,0.0041,0,0.0935,0,0.8403
"Pike County, Georgia",5,0.283,6278,54,"Georgia","yes",0.711007462686567,"Trump",0.0163,0,0.0051,0.0894,0,0.8691
