"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",0.157556270096463,"Trump",23.607260263,4.6922040688,4.6917173391,21.905769263,26.2,321.432754271808,6.2610531759,41.31097561,4.7291487532,28,17.125900805,39.8,79.571400904,39515,0.129,0.806,0.506,2.2,"Medium"
"no",-0.0129855898306942,"Biden",23.924020325,4.7176007733,4.7991567711,22.64608528,26.1,689.41443407,5.6889219235,45.086567164,4.2391866276,44,16.063285249,29.4,74.920124954,44429,0.233,0.858,0.748,2.51,"Medium"
"no",0.779797750255653,"Trump",21.713530458,4.6980199085,4.9778858134,23.474141639,35.9,194.75777002,4.450546563,16.149068323,2.7454242928,47,21.529963389,19.1,75.903065467,53481,0.134,0.759,0.66,2.78,"Low"
"yes",0.431185886448142,"Trump",19.823362768,4.2526751878,4.4729799597,20.245236506,23.2,497.24463225,3.7325781827,22.763443453,2.817877925,49,17.806665627,13.5,76.357988321,68924,0.19,0.845,0.842,2.99,"Low"
"yes",0.506915821179455,"Trump",19.773752944,4.3183850711,4.5872228485,21.365185705,29.9,467.95743699,4.2770542958,22.745909641,3.2727200776,51,17.256143991,16.1,76.678260084,60254,0.186,0.836,0.798,2.76,"Low"
"no",0.261730652041438,"Trump",26.262934855,5.2562519124,5.0794605736,23.8514354,41.1,361.24888902,4.8677199504,50.375410605,5.5160807779,36,15.736681774,32,73.00461051,35931,0.112,0.835,0.555,2.59,"Low"
"no",0.665116879762366,"Trump",24.589658994,5.1517809626,5.1529763756,25.489514458,28.5,224.23890677,4.9498118742,19.76744186,3.9871554723,40,20.394610817,28.6,74.273758871,42058,0.114,0.79,0.629,2.57,"Low"
"yes",-0.238269649574342,"Biden",22.888508478,4.5852706262,4.6284102311,20.530971451,30.8,500.68215496,6.2015852048,49.939712226,3.8986096383,44,16.029464783,36.4,74.168583866,43066,0.254,0.86,0.752,2.53,"Medium"
"no",0.528556412053259,"Trump",21.165886736,4.5528324171,4.7829571428,21.820170713,34,354.53849563,5.2880575879,40.590264469,5.0320017656,46,14.631029709,25.5,77.644078856,48115,0.187,0.886,0.694,2.71,"Low"
"yes",0.812104787714544,"Trump",24.67292276,5.1813675143,5.4401714601,26.430256019,30.9,198.66648524,4.8587243318,20.148081669,4.0507026729,38,18.934378816,26.9,74.377853836,44680,0.089,0.789,0.661,2.74,"Low"
"yes",0.207013096746937,"Trump",25.065967068,4.9921550884,5.0336286843,23.357974482,27.5,527.20513687,6.3535222439,35.635519443,3.3763222721,39,20.036160421,35.3,74.19200133,39554,0.178,0.851,0.672,2.44,"Medium"
