"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household"
"Tioga County, New York","3",0.517,27041,65,"New York","yes",0.205917585050311,"Trump",0.0195,0.002,0.0077,0.0062,0,0.95,15.359032371,3.9352094582,4.4770761768,21.31714833,25,115.22833404,4.3024430394,18.353997852,4.1477498127,50,4.5626686034,13.8,80.597569481,60699,0.26,0.912,0.833,2.4
"Tompkins County, New York","3",0.692,75994,59,"New York","yes",-0.492467475675085,"Biden",0.0516,0.0014,0.096,0.0348,6e-04,0.7712,13.450979461,3.5045989427,4.3998154352,16.610546011,14.6,122.75704654,5.5852005782,24.419709515,3.6344482486,54,4.7962648557,14.3,81.00621862,59176,0.535,0.944,0.853,2.25
"Ulster County, New York","3",0.616,119822,270,"New York","yes",-0.209197290084172,"Biden",0.1021,0.001,0.0186,0.0551,6e-04,0.7905,15.620532977,4.0321682343,4.4053100965,18.001976094,20.4,173.88207735,4.9649432341,22.796323482,3.7688728732,50,6.0165914501,16.1,80.199086129,64090,0.325,0.907,0.861,2.41
"Warren County, New York","3",0.677,45943,76,"New York","yes",0.00157759264897178,"Trump",0.0256,0.0027,0.0098,0.012,6e-04,0.9377,15.390733065,3.8840557633,4.2022777145,20.8282461,21.7,138.31258645,4.1169712419,23.16845147,4.5720310553,53,4.8672299942,15,79.120888151,63240,0.313,0.919,0.831,2.26
"Washington County, New York","3",0.566,37113,61,"New York","yes",0.155519226668562,"Trump",0.0274,0.0031,0.006,0.0279,1e-04,0.9232,18.201145466,4.241959952,4.5993155561,24.539932752,26,141.08895017,3.9961403241,21.856338509,4.0709999641,50,5.3882080727,17.2,78.730189143,56897,0.205,0.879,0.797,2.43
"Wayne County, New York","3",0.535,51203,76,"New York","yes",0.195643422641678,"Trump",0.0441,0.0012,0.0078,0.0272,0.0012,0.8993,16.351121255,4.2557086959,4.5880502411,22.831096885,30.6,178.44338254,4.043413674,20.491676545,4.0264628721,51,4.8477767851,15.8,79.026822783,61989,0.226,0.892,0.807,2.42
"Westchester County, New York","2",0.664,712561,2325,"New York","yes",-0.362800299488014,"Biden",0.2467,0.0016,0.0592,0.1343,2e-04,0.5348,13.715787146,3.3173112915,3.6903568728,12.597320177,19.4,220.6061664,6.2650838152,20.878636359,3.762319822,54,5.8051074484,10.1,83.64539298,101741,0.489,0.881,0.862,2.7
"Wyoming County, New York","3",0.436,18612,54,"New York","no",0.454920356719418,"Trump",0.0329,0.0047,0.0041,0.0395,0,0.8991,17.616627894,4.3318842971,4.554449349,22.739390791,26.2,110.99591389,3.8562821735,19.675405743,4.3847553913,50,4.6452788179,12.6,79.182631759,58214,0.177,0.899,0.773,2.37
"Yates County, New York","3",0.457,12182,26,"New York","yes",0.185870479394449,"Trump",0.0222,8e-04,0.0065,0.0096,2e-04,0.9471,15.718342883,4.0400452689,4.5440641298,18.687168685,28.8,76.047149233,4.3711423821,14.504094631,3.7302725968,54,8.4326995381,26.2,77.654727898,60612,0.252,0.864,0.754,2.66
"Appling County, Georgia","3",0.304,6597,84,"Georgia","no",0.570441001191895,"Trump",0.0992,0.0051,0.004,0.1928,0,0.6912,26.147770865,5.2961440352,5.1793702062,24.549106075,41.4,379.19826652,5.0357492056,24.437582708,3.879217709,30,18.718346951,31,75.09966001,43821,0.098,0.749,0.604,2.69
"Atkinson County, Georgia","3",0.32,3308,25,"Georgia","no",0.467511885895404,"Trump",0.2488,0.0098,0,0.1741,0,0.5652,29.786710401,5.4454693259,5.1428541584,25.603802663,29.9,321.432754271808,4.2872697278,41.730509238,3.0457933972,36,24.870466321,36.8,72.807363746,38581,0.122,0.672,0.62,2.85
"Bacon County, Georgia","5",0.264,3454,49,"Georgia","no",0.726805228197986,"Trump",0.0826,0,0.0017,0.1519,0.0023,0.7351,25.03729763,5.152440388,5.085538288,24.946271792,37.5,321.432754271808,5.6518999427,30.292479109,3.5440998792,35,19.422222222,31.1,73.85865167,41807,0.105,0.821,0.664,2.7
