County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Physically Inactive,Violent Crime Rate,Income Ratio,% Children in Single-Parent Households,% Unemployed,% Vaccinated,% Uninsured,% Children in Poverty,Life Expectancy,Median Household Income,State
"Cherokee County, Georgia",13.946277151,3.4514198119,3.9416240072,15.308578318,21.1,93.205610294,3.9328851842,14.620263457,2.721368931,51,14.063848933,8.3,80.281473967,88635,Georgia
"Clarke County, Georgia",21.310467602,4.4728410143,4.9091423627,18.513664294,21.7,404.78640757,6.2249948014,36.949245793,3.5518478408,53,18.200105463,27.3,79.005081332,41036,Georgia
"Clay County, Georgia",31.828632646,5.7979246245,5.5119543345,27.107171385,42.8,200.0,5.1266586248,60.892857143,6.9318181818,35,16.789035732,41.9,75.540071402,24732,Georgia
"Clayton County, Georgia",25.098092315,4.6066998503,4.5235945517,18.928142608,31.7,632.28407094,3.9056370868,45.062000378,4.2207320967,43,18.547576337,24.4,76.622749023,50737,Georgia
"Clinch County, Georgia",30.911676757,5.9437103756,5.7419783153,28.028505422,22.1,473.45036055,10.496364211,51.972157773,3.9186134137,33,17.923316823,30.6,72.562091614,42928,Georgia
"Cobb County, Georgia",14.250915701,3.28207782,3.9612516518,13.797273197,21.2,265.50774296,4.2691841281,24.329249941,2.9576613425,52,14.225309941,11.7,80.684108088,79622,Georgia
"Coffee County, Georgia",24.732592161,4.8984292701,4.9466326861,23.228385022,35.3,325.45888323,4.7268765728,30.328878779,3.8740791775,37,19.535852425,28.3,74.529472074,41675,Georgia
"Colquitt County, Georgia",27.460955679,5.0981723854,4.7532480548,23.482308007,36.1,321.4327542718077,5.2825761358,33.61048123,3.157599289,36,23.807480896,31.9,74.36854576,41899,Georgia
"Columbia County, Georgia",14.666863397,3.4511029929,3.8449437344,15.938055991,27.0,51.627486753,3.4741853422,15.2265625,3.0265924881,47,10.16089072,7.4,80.475498238,88285,Georgia
"Cook County, Georgia",23.807982766,4.8492544472,4.8362790103,23.577842447,39.5,301.80776693,5.364049909,30.937215651,3.3800701052,41,18.664298401,32.2,74.493338588,40670,Georgia
"Coweta County, Georgia",16.596168257,3.8804573926,3.9856484627,16.937902423,29.2,231.98486834,4.0582693324,24.560908912,2.9278494249,47,13.858821279,12.0,78.94401769,79232,Georgia
"Crawford County, Georgia",22.36017633,4.7015209824,4.8640702062,23.217966402,41.0,153.15275894,5.9694283293,33.320639756,3.5860838537,44,17.694722982,24.2,75.508586522,50411,Georgia
"Crisp County, Georgia",27.719305696,5.497349594,5.1628952963,25.296731372,36.9,288.19692734,6.0405898331,56.733576642,3.9011979222,41,16.47954866,43.9,75.172800596,40482,Georgia
"Dade County, Georgia",19.970749388,4.4331950188,4.8883195532,21.825729245,31.1,333.24161546,4.0852534562,22.804163956,3.2647094652,42,15.90309822,17.3,76.367404424,45986,Georgia
"Dawson County, Georgia",15.34035254,3.7267073482,4.0383979506,17.10031135,23.8,97.083189506,4.0103914203,16.780409474,2.8327922078,51,15.948405159,12.0,77.104648376,69155,Georgia
"Decatur County, Georgia",25.182471073,5.0015400514,4.734432183,22.656817591,29.1,678.61171206,5.0460094473,42.261538462,3.8041594454,35,18.38001801,35.6,74.266507804,40473,Georgia
"DeKalb County, Georgia",17.515990052,3.6760564894,4.1219397186,15.718021828,20.4,644.47770595,4.8761630731,35.527998761,3.4190217201,47,17.089752415,18.5,80.402244505,63606,Georgia
"Dodge County, Georgia",24.27194558,5.0359462878,4.8138363281,23.231700174,25.4,377.39698082,5.2284044715,37.860488045,5.380595961,43,15.214082456,28.3,76.342468033,41118,Georgia
"Dooly County, Georgia",26.017111473,4.8940381934,4.7326601376,24.183565859,30.9,155.11025405,5.3745896657,33.949856145,3.7665154802,37,17.281748244,41.5,79.516503427,37109,Georgia
"Dougherty County, Georgia",26.578321125,5.0277498839,5.024860504,22.424063549,35.1,940.76351189,5.4233641658,54.647913562,4.7433923866,41,16.70096316,39.5,74.441725155,36894,Georgia
"Douglas County, Georgia",18.993225668,3.7942604668,4.0907123218,17.829695011,25.0,306.02552474,4.0468982104,32.142474271,3.5196743926,45,14.934175302,16.6,77.839585406,62915,Georgia
"Early County, Georgia",27.234993374,5.2767402021,4.9509994259,23.924941661,28.1,776.9145394,5.7086107578,52.574525745,3.9112534309,33,13.911965282,40.8,73.039393215,40011,Georgia
"Echols County, Georgia",26.214964641,5.0600037135,4.8729379008,23.170767169,27.3,86.270643333,5.2945021425,17.707150965,2.776322682,41,25.102639296,31.0,83.581382765,40408,Georgia
"Effingham County, Georgia",16.758498712,3.8555372899,4.426561676,19.674660728,31.7,118.39756843,3.8571105146,19.024269133,2.8780472013,42,13.544278316,11.9,76.488185614,71628,Georgia
"Elbert County, Georgia",24.354851746,4.94714179,5.0238052574,23.148546288,39.2,358.8115336,4.9501918079,35.903556935,3.9958213633,33,18.006886773,29.5,75.09341708,40962,Georgia
